place,cote,yearStart,yearEnd,url
Melle,2 C 2437,1710,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vta49ecbc3196fe709e/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2396,1715,1785,https://archives-deux-sevres-vienne.fr/ark:/58825/vta595959909a408d66/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,2 C 2295,1722,1785,https://archives-deux-sevres-vienne.fr/ark:/58825/vta6102926f2e1190b1/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thénezay,2 C 2458,1723,1723,https://archives-deux-sevres-vienne.fr/ark:/58825/vta64639094d926db07/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,2 C 2293,1730,1753,https://archives-deux-sevres-vienne.fr/ark:/58825/vta938cb6aa8cbe04b1/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Coulonges-sur-l'Autize,2 C 685,1730,1767,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1915f14c098be37d/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Mauzé-sur-le-Mignon,2 C 2430,1730,1730,https://archives-deux-sevres-vienne.fr/ark:/58825/vtabda5226c1ec576fe/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,2 C 1506,1732,1776,https://archives-deux-sevres-vienne.fr/ark:/58825/vtae6c1124c4f6353e0/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Sauzé-Vaussais,2 C 2379,1732,1788,https://archives-deux-sevres-vienne.fr/ark:/58825/vta861796b156990a44/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,2 C 2294,1733,1753,https://archives-deux-sevres-vienne.fr/ark:/58825/vta3bdd8ca543c28f03/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chef-Boutonne,2 C 2303,1733,1753,https://archives-deux-sevres-vienne.fr/ark:/58825/vta5149599c34d46546/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chef-Boutonne,2 C 2304,1733,1753,https://archives-deux-sevres-vienne.fr/ark:/58825/vta2df73f408d986890/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2399,1733,1773,https://archives-deux-sevres-vienne.fr/ark:/58825/vta728d30d657258a26/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
La Mothe-Saint-Héray,2 C 2342,1733,1784,https://archives-deux-sevres-vienne.fr/ark:/58825/vta4a91c45413ac658b/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
